lineage,n_cell_lines,dar,n_oncogene,n_housekeeping,predicted_direction,top5_differential,top3_oncogene,top3_housekeeping
Lung,126,0.3,6,14,harmful,TFRC; LCE1F; PGD; TRPM7; GMPS,TFRC; AURKA; UXS1,LCE1F; PGD; TRPM7
Lymphoid,93,0.35,7,13,harmful,IRF4; NMNAT1; ATP1B3; CBFB; NAMPT,NAMPT; EBF1; EP300,IRF4; NMNAT1; ATP1B3
Skin,74,0.3,6,14,harmful,SOX10; BRAF; MDM2; FERMT2; CCND1,FERMT2; INTS6; MAPK1,SOX10; BRAF; MDM2
CNS/Brain,90,0.3,6,14,harmful,RPP25L; FERMT2; ITGAV; FAM50A; PRKAR1A,FERMT2; PRKAR1A; PTK2,RPP25L; ITGAV; FAM50A
Esophagus/Stomach,69,0.25,5,15,harmful,SNAP23; CCND1; STX4; ATP1A1; KLF5,ATP1A1; KLF5; PAICS,SNAP23; CCND1; STX4
Bowel,63,0.4,8,12,harmful,CTNNB1; BCL2L1; KRAS; TCF7L2; SNAP23,CTNNB1; KRAS; TCF7L2,BCL2L1; SNAP23; SCAP
Breast,53,0.35,7,13,harmful,ADSL; ATP1A1; SDHB; KIF11; CCND1,ATP1A1; NAMPT; CLTC,ADSL; SDHB; KIF11
Head and Neck,77,0.4,8,12,harmful,TP63; EGFR; GRB2; EFR3A; BUB3,TP63; ARHGEF7; KLF5,EGFR; GRB2; EFR3A
Bone,46,0.35,7,13,harmful,SEPSECS; CDK4; EWSR1; PGK1; UBE2N,EWSR1; UBE2N; TUBB,SEPSECS; CDK4; PGK1
Myeloid,42,0.3,6,14,harmful,MYB; CBFB; WDR36; UMPS; ADSL,MYB; NAMPT; LDB1,CBFB; WDR36; UMPS
Soft Tissue,45,0.35,7,13,harmful,SMG1; CR1; EEF1A1; ZC3H11A; FRRS1,SMG1; EEF1A1; ZC3H11A,CR1; FRRS1; WDR49
Ovary/Fallopian Tube,59,0.25,5,15,harmful,PAX8; FERMT2; CFLAR; EIF1AX; DNAJC9,PAX8; FERMT2; ATP6V1A,CFLAR; EIF1AX; DNAJC9
Kidney,34,0.45,9,11,harmful,HNF1B; PAX8; CFLAR; FERMT2; MDM2,HNF1B; PAX8; FERMT2,CFLAR; MDM2; SEPHS2
Pancreas,47,0.45,9,11,harmful,KRAS; EFR3A; RAB10; CCND1; CFLAR,KRAS; RAB10; MYH9,EFR3A; CCND1; CFLAR
Peripheral Nervous System,44,0.4,8,12,harmful,CCND1; IRS2; ISL1; NXT1; LDB1,ISL1; NXT1; LDB1,CCND1; IRS2; SEPHS2
Biliary Tract,35,0.2,4,16,harmful,SMG1; PTGES3L; NPM1; C5orf58; E2F6,SMG1; NPM1; EEF1A1,PTGES3L; C5orf58; E2F6
Uterus,34,0.3,6,14,harmful,PAX8; BCL2L1; FERMT2; DDX3X; NDUFB1,PAX8; FERMT2; RBM25,BCL2L1; DDX3X; NDUFB1
Bladder/Urinary Tract,34,0.3,6,14,harmful,FAM50A; SNAP23; LONP1; STX4; EFR3A,LONP1; ARHGEF7; UBE2N,FAM50A; SNAP23; STX4
Pleura,21,0.35,7,13,harmful,RRN3; SMG1; MDM2; FGFR1; FERMT2,SMG1; FGFR1; FERMT2,RRN3; MDM2; SNAP23
Liver,24,0.55,11,9,protective,CCND1; INTS6; PTK2; GRB2; ITGAV,INTS6; PTK2; TUBB,CCND1; GRB2; ITGAV
Thyroid,11,0.25,5,15,harmful,NHLRC2; ITGAV; FERMT2; PRKRA; GPI,FERMT2; EIF3B; HDAC3,NHLRC2; ITGAV; PRKRA
Cervix,18,0.45,9,11,harmful,ZER1; SKP2; UBE3A; CKS1B; ELOB,ZER1; UBE3A; CKS1B,SKP2; ELOB; CUL2
Eye,15,0.3,6,14,harmful,MDM2; PPM1G; MDM4; CDK4; CCND1,PPM1G; MDM4; INTS6,MDM2; CDK4; CCND1
Prostate,10,0.35,7,13,harmful,EGFR; ITGB1; KIF11; LCE1F; MED24,ITGB1; ATP1A1; MAGOH,EGFR; KIF11; LCE1F
Testis,5,0.35,7,13,harmful,SMG1; TIMM50; FOXD4; SEPSECS; MDM2,SMG1; MCL1; NMT1,TIMM50; FOXD4; SEPSECS
