lineage,PCA,Equal,Theory,Clinical
Lung,0.4725,0.5029,0.4344,0.4628
Lymphoid,0.618,0.6501,0.5209,0.6736
Skin,0.8417,0.7885,0.846,0.8428
CNS/Brain,0.377,0.4114,0.2671,0.4176
Esophagus/Stomach,0.5226,0.5638,0.4685,0.5256
Bowel,0.7144,0.7449,0.6814,0.7219
Breast,0.7442,0.7108,0.7555,0.7358
Head and Neck,0.5406,0.5521,0.5074,0.5469
Bone,0.5634,0.5662,0.5047,0.5884
Myeloid,0.7952,0.8214,0.7572,0.8123
Soft Tissue,0.4717,0.4365,0.4121,0.5028
Ovary/Fallopian Tube,0.5629,0.5033,0.5661,0.5596
Kidney,0.7943,0.7937,0.8081,0.7847
Pancreas,0.6447,0.6608,0.5998,0.6595
Peripheral Nervous System,0.4657,0.4689,0.3952,0.5055
Biliary Tract,0.524,0.5357,0.4699,0.5435
Uterus,0.5854,0.5873,0.5941,0.5659
Pleura,0.5704,0.5753,0.5569,0.5792
Prostate,0.5584,0.608,0.5476,0.5531
Testis,0.22,0.223,0.2249,0.2359
